* Measurement data measured by REW V5.30.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2023 12:33:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DJI_PRINTED_50g_p2
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
143.554688 44.22837442324512 -15.9307
143.920898 47.72337442324512 47.8091
144.287109 51.38637442324512 82.082
144.65332 52.70437442324512 109.7212
145.019531 52.19037442324512 145.9121
145.385742 52.90837442324512 -158.9448
145.751953 57.17437442324512 -113.7222
146.118164 61.07637442324512 -87.9937
146.484375 63.55737442324512 -70.4692
146.850586 64.74037442324513 -56.106
147.216797 64.71537442324512 -42.7573
147.583008 63.42137442324512 -28.8589
147.949219 60.58237442324512 -11.8135
148.31543 55.69437442324512 17.0005
148.681641 51.75937442324512 82.7866
149.047852 54.91237442324512 135.8076
149.414062 56.83337442324512 158.728
149.780273 56.45137442324512 173.4116
150.146484 53.74137442324512 -174.5176
150.512695 47.18737442324512 -162.7754
150.878906 29.45237442324512 8.9761
151.245117 46.83837442324512 33.2495
151.611328 49.87737442324512 44.3604
151.977539 49.78037442324512 55.6899
152.34375 47.64937442324512 68.4502
152.709961 43.80537442324512 84.2568
153.076172 38.91537442324512 104.3477
153.442383 35.248374423245124 119.1396
153.808594 35.86037442324512 113.6548
154.174805 39.32537442324512 110.5566
154.541016 41.80537442324512 117.334
154.907227 42.38837442324512 130.417
155.273438 41.01937442324512 151.4668
155.639648 38.40637442324512 -170.1157
156.005859 38.48337442324512 -115.1953
156.37207 40.76937442324512 -78.0059
156.738281 41.56237442324512 -55.0449
157.104492 40.19537442324512 -35.6719
157.470703 36.27737442324512 -11.6348
157.836914 30.48437442324512 38.4673
158.203125 30.63337442324512 97.9907
158.569336 30.46437442324512 103.2617
158.935547 32.27237442324512 55.0952
159.301758 39.31937442324512 34.2598
159.667969 43.84337442324512 35.4224
160.03418 46.15837442324512 41.8643
160.400391 46.72337442324512 50.0249
160.766602 45.56137442324512 58.7363
161.132812 42.12837442324512 66.7974
161.499023 33.70137442324512 66.5938
161.865234 31.18037442324512 -57.2583
162.231445 39.34137442324512 -58.1025
162.597656 41.72637442324512 -42.6045
162.963867 42.02637442324512 -20.1289
163.330078 41.55137442324512 9.2495
163.696289 41.21637442324512 42.1372
164.0625 40.91837442324512 72.8125
164.428711 39.82937442324512 101.0493
164.794922 37.501374423245124 133.5205
165.161133 35.44237442324512 -179.4502
165.527344 36.70737442324512 -135.2329
165.893555 38.49937442324512 -115.3125
166.259766 39.23137442324512 -113.6313
166.625977 39.88937442324512 -125.0864
166.992188 41.48537442324512 -138.8682
167.358398 43.13437442324512 -145.6685
167.724609 43.70437442324512 -146.2153
168.09082 42.52837442324512 -143.4438
168.457031 38.38437442324512 -139.897
168.823242 21.25037442324512 -161.7075
169.189453 36.68637442324512 62.875
169.555664 42.32137442324512 67.7114
169.921875 44.17037442324512 74.5933
170.288086 43.73937442324512 81.8105
170.654297 40.89737442324512 88.4585
171.020508 33.39737442324512 90.3154
171.386719 27.15737442324512 -46.7402
171.75293 37.03137442324512 -53.7568
172.119141 39.01937442324512 -45.561
172.485352 37.22237442324512 -32.2397
172.851562 30.054374423245118 5.8843
173.217773 33.66537442324512 115.8945
173.583984 40.38637442324512 140.1284
173.950195 43.15337442324512 151.0371
174.316406 43.72637442324512 158.2183
174.682617 42.49737442324512 162.1938
175.048828 39.33937442324512 160.167
175.415039 34.23537442324512 140.4438
175.78125 32.12837442324512 91.8389
176.147461 33.623374423245124 68.4116
176.513672 32.04937442324512 65.8438
176.879883 22.397374423245118 80.4526
177.246094 28.21937442324512 -124.3608
177.612305 35.81437442324512 -114.7573
177.978516 38.72937442324512 -109.9922
178.344727 39.63937442324512 -107.2295
178.710938 39.48437442324512 -106.5381
179.077148 39.09837442324512 -106.9336
179.443359 39.24537442324512 -104.6558
179.80957 40.16837442324512 -96.0557
180.175781 41.55837442324512 -82.064
180.541992 42.82337442324512 -65.6475
180.908203 43.33337442324512 -47.4224
181.274414 42.60737442324512 -23.855
181.640625 41.05937442324512 16.1001
182.006836 42.83737442324512 72.562
182.373047 47.36337442324512 108.627
182.739258 50.84337442324512 128.8555
183.105469 52.96537442324512 143.1836
183.47168 53.91237442324512 155.1748
183.837891 53.77437442324512 166.3311
184.204102 52.52037442324512 177.6611
184.570312 49.96737442324512 -169.4775
184.936523 45.68937442324512 -151.5508
185.302734 39.39737442324512 -114.2686
185.668945 37.52537442324512 -44.4258
186.035156 39.657374423245116 -10.167
186.401367 39.16237442324512 1.5986
186.767578 35.764374423245116 -2.1377
187.133789 31.69137442324512 -42.3135
187.5 34.55437442324512 -82.3574
187.866211 36.513374423245125 -89.291
188.232422 35.31937442324512 -87.4834
188.598633 29.26037442324512 -87.5186
188.964844 22.67037442324512 140.0469
189.331055 33.95737442324512 128.6055
189.697266 37.05837442324512 135.6309
190.063477 36.757374423245125 145.3672
190.429688 32.377374423245115 159.0869
190.795898 19.66437442324512 -76.1357
191.162109 35.55437442324512 -20.8125
191.52832 40.535374423245116 -8.9658
191.894531 42.46437442324512 -0.1709
192.260742 42.35537442324512 6.7207
192.626953 40.07837442324512 10.5332
192.993164 34.10937442324512 3.1074
193.359375 29.12737442324512 -91.0449
193.725586 37.752374423245115 -123.1543
194.091797 41.20237442324512 -126.916
194.458008 42.26137442324512 -129.3926
194.824219 41.86537442324512 -134.8926
195.19043 40.61137442324512 -145.8711
195.556641 39.17637442324512 -162.5107
195.922852 37.84037442324512 178.751
196.289062 35.92637442324512 158.9434
196.655273 33.04637442324512 127.1494
197.021484 33.33737442324512 75.9639
197.387695 37.007374423245125 47.7314
197.753906 39.24737442324512 37.9004
198.120117 39.56837442324512 33.0234
198.486328 37.96537442324512 25.6514
198.852539 34.749374423245115 3.3447
199.21875 34.35037442324512 -41.71
199.584961 37.36937442324512 -65.5483
199.951172 38.71437442324512 -70.7876
200.317383 37.40537442324512 -70.4321
200.683594 31.30037442324512 -73.1641
201.049805 26.69137442324512 151.248
201.416016 37.75037442324512 140.1777
201.782227 41.40437442324512 145.1094
202.148438 42.04837442324512 152.5771
202.514648 39.79937442324512 163.0312
202.880859 31.75737442324512 -168.0459
203.24707 34.82537442324512 -40.9619
203.613281 42.285374423245116 -21.1357
203.979492 45.12037442324512 -13.2998
204.345703 45.49437442324512 -8.9512
204.711914 43.56737442324512 -8.3408
205.078125 38.11737442324512 -18.4473
205.444336 31.74237442324512 -108.1953
205.810547 40.39937442324512 -155.3301
206.176758 44.19237442324512 -168.5
206.542969 45.96337442324512 178.3516
206.90918 47.15337442324512 162.9062
207.275391 48.30537442324512 148.3691
207.641602 49.16237442324512 137.6641
208.007812 49.24737442324512 130.541
208.374023 48.21937442324512 125.0059
208.740234 45.81637442324512 118.0889
209.106445 41.91237442324512 104.2891
209.472656 37.66737442324512 75.4053
209.838867 35.43437442324512 46.5322
210.205078 31.31737442324512 49.8662
210.571289 30.95237442324512 140.3057
210.9375 39.53137442324512 168.9844
211.303711 43.39237442324512 174.9551
211.669922 44.48137442324512 175.1641
212.036133 43.37337442324512 166.9258
212.402344 41.43437442324512 137.9004
212.768555 43.49437442324512 98.7695
213.134766 46.93937442324512 83.7974
213.500977 48.73237442324512 82.1694
213.867188 48.69137442324512 85.8267
214.233398 46.55737442324512 92.3223
214.599609 40.83737442324512 101.9512
214.96582 21.68337442324512 -125.2646
215.332031 40.48637442324512 -71.1797
215.698242 43.71537442324512 -60.6914
216.064453 42.56637442324512 -52.9453
216.430664 34.398374423245116 -60.1729
216.796875 39.03937442324512 174.3779
217.163086 47.32137442324512 176.0869
217.529297 50.83037442324512 -173.3867
217.895508 51.99237442324512 -159.4756
218.261719 51.17437442324512 -140.127
218.62793 48.50037442324512 -104.9414
218.994141 48.50637442324512 -39.6934
219.360352 53.37837442324512 4.2393
219.726562 57.02837442324512 26.4033
220.092773 59.07537442324512 41.7666
220.458984 59.83837442324512 54.6631
220.825195 59.44637442324512 66.6748
221.191406 57.85837442324512 78.8223
221.557617 54.82337442324512 92.5977
221.923828 49.70337442324512 112.624
222.290039 42.30637442324512 162.793
222.65625 43.26137442324512 -122.2148
223.022461 45.33737442324512 -97.1299
223.388672 44.12337442324512 -89.6689
223.754883 39.97337442324512 -101.8096
224.121094 38.44637442324512 -152.207
224.487305 42.27637442324512 -173.9736
224.853516 43.92737442324512 -170.7344
225.219727 43.36237442324512 -157.2627
225.585938 41.157374423245116 -133.0156
225.952148 38.79737442324512 -94.2256
226.318359 38.06137442324512 -53.1748
226.68457 36.730374423245124 -23.7764
227.050781 30.55337442324512 4.4141
227.416992 28.98437442324512 156.9502
227.783203 39.22537442324512 -176.1416
228.149414 43.19437442324512 -164.1377
228.515625 44.68537442324512 -155.1729
228.881836 44.46037442324512 -148.0732
229.248047 42.67237442324512 -142.7197
229.614258 39.14337442324512 -139.0127
229.980469 33.139374423245116 -133.834
