* Measurement data measured by REW V5.30.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2023 11:40:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CICADA_50g_p2
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
215.332031 35.73945105739507 122.6094
215.698242 41.906451057395074 -143.957
216.064453 48.54445105739507 -146.645
216.430664 51.20945105739507 -158.6646
216.796875 51.485451057395075 -171.9463
217.163086 49.29545105739507 177.2004
217.529297 43.162451057395074 -175.989
217.895508 42.98945105739507 -101.1252
218.261719 49.42345105739507 -93.8076
218.62793 51.649451057395076 -106.3521
218.994141 50.88645105739507 -122.3831
219.360352 46.23345105739507 -137.051
219.726562 30.77045105739507 -66.6597
220.092773 45.656451057395074 -17.6184
220.458984 48.14245105739507 -37.4663
220.825195 43.05045105739507 -73.718
221.191406 46.32545105739507 134.1216
221.557617 56.23145105739507 98.554
221.923828 60.814451057395075 74.083
222.290039 62.857451057395075 51.3628
222.65625 62.744451057395075 29.436
223.022461 59.62645105739507 8.907
223.388672 44.90745105739507 11.325
223.754883 59.30345105739507 133.645
224.121094 66.28345105739507 114.238
224.487305 69.64445105739507 92.5015
224.853516 71.21045105739508 70.1409
225.219727 71.44445105739507 47.3901
225.585938 70.43345105739508 24.1912
225.952148 68.00645105739508 0.1882
226.318359 63.52345105739507 -25.9824
226.68457 54.47545105739507 -64.2683
227.050781 51.11145105739507 150.4573
227.416992 57.66145105739507 106.6077
227.783203 58.51745105739507 78.8989
228.149414 56.174451057395075 51.9167
228.515625 49.61845105739507 16.96
228.881836 42.765451057395076 -108.1797
229.248047 50.82745105739507 -166.196
229.614258 52.69445105739507 169.0164
229.980469 51.30945105739507 151.6489
230.34668 46.90845105739507 146.3474
230.712891 41.82145105739507 -177.6323
231.079102 44.933451057395075 -145.7449
231.445312 46.59945105739507 -148.1011
231.811523 45.63345105739507 -155.5767
232.177734 42.97745105739507 -159.7529
232.543945 40.198451057395076 -163.8848
232.910156 38.99745105739507 167.5249
233.276367 42.592451057395074 116.6443
233.642578 47.872451057395075 82.3875
234.008789 51.528451057395074 58.3037
234.375 53.522451057395074 37.7563
234.741211 54.06045105739507 19.0205
235.107422 53.177451057395075 1.9492
235.473633 50.644451057395074 -12.5596
235.839844 45.61245105739507 -20.4551
236.206055 36.345451057395074 13.2266
236.572266 41.37445105739507 82.1306
236.938477 45.60345105739507 83.8279
237.304688 46.960451057395076 78.4385
237.670898 46.833451057395074 73.3235
238.037109 45.744451057395075 70.2114
238.40332 43.957451057395076 70.3098
238.769531 41.83745105739507 75.1672
239.135742 40.15445105739507 83.8699
239.501953 39.287451057395074 88.4182
239.868164 38.26845105739507 80.9338
240.234375 36.16045105739507 57.1992
240.600586 33.98845105739507 10.0176
240.966797 34.97445105739507 -44.8701
241.333008 36.41445105739507 -82.8862
241.699219 35.519451057395074 -111.9854
242.06543 30.062451057395073 -141.3555
242.431641 22.19745105739507 49.5474
242.797852 35.12845105739507 6.8779
243.164062 39.13645105739508 -19.0532
243.530273 40.33745105739507 -44.7378
243.896484 39.75945105739507 -72.1616
244.262695 37.91445105739507 -102.627
244.628906 35.53245105739507 -134.958
244.995117 33.60045105739508 -159.5166
245.361328 33.528451057395074 -163.7974
245.727539 36.49945105739508 -162.395
246.09375 39.802451057395075 -171.1938
246.459961 41.70245105739507 174.5415
246.826172 41.81945105739507 159.7124
247.192383 39.720451057395074 149.4048
247.558594 34.94145105739507 162.2676
247.924805 36.470451057395074 -147.5015
248.291016 41.44145105739507 -144.0327
248.657227 43.461451057395074 -158.2695
249.023438 42.848451057395074 -178.3838
249.389648 38.61245105739508 154.27
249.755859 28.439451057395072 44.6772
250.12207 40.75845105739508 -38.4072
250.488281 45.561451057395075 -67.4873
250.854492 47.22545105739507 -94.0698
251.220703 46.686451057395075 -123.0522
251.586914 43.85645105739507 -161.8301
251.953125 40.69645105739507 125.4604
